driver_actions-safe_drive/1 9 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/56 159 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_right/2 24 4 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/9 35 17 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/62 40 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/8 339 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/16 52 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/62 72 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/8 111 17 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/12 343 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/12 82 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/63 370 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/11 373 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/64 14 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/65 29 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/64 220 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/10 21 17 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/18 73 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/4 32 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/13 75 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/66 83 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/18 46 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/17 22 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/66 12 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/65 159 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/19 31 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/13 398 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/9 394 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/20 194 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/5 24 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/22 56 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/14 63 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/67 18 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/21 52 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/10 13 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/15 52 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/7 140 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/68 114 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/10 31 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/19 71 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/14 81 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/15 153 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/67 1017 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-phonecall_left/1 962 12 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_right/3 983 4 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/11 32 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/11 46 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/17 50 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/69 139 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/20 67 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/72 21 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/71 31 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/70 13 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/70 78 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/69 23 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/71 12 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/6 20 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/16 47 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/75 6 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/72 29 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/16 60 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/11 23 17 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/76 70 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/78 12 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/73 14 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/74 27 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/78 11 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/73 68 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/75 90 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/77 20 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/76 30 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/77 18 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/74 35 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/12 20 17 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/7 20 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-texting_left/1 524 11 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_right/4 530 4 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/79 24 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/12 34 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/13 5 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/17 70 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_right/5 59 4 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/18 39 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/21 65 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/80 21 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/12 60 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/8 30 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/9 35 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/18 64 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/19 15 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/14 34 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/13 95 17 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/14 5 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/80 265 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-hair_and_makeup/3 49 15 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/20 7 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/13 49 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/81 24 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/10 29 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/22 43 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/14 39 17 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/82 15 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/23 73 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/82 52 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/11 133 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-drinking/3 313 13 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/81 500 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/21 264 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/19 789 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/15 119 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/24 51 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/15 19 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/12 113 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/15 35 17 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/22 89 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/85 13 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/83 25 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/84 61 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/8 12 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/84 14 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/20 178 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/26 56 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-phonecall_left/2 140 12 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_right/6 192 4 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/85 14 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/25 14 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/16 27 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/13 19 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-texting_left/2 40 11 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/24 32 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/27 8 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/9 28 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/23 11 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/29 33 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/30 26 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/28 46 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/32 34 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/31 154 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-phonecall_left/3 780 12 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_right/7 848 4 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/86 1036 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/10 12 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/86 22 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/25 96 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/21 86 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/11 27 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/22 52 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/89 16 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/88 51 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/14 4 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/33 54 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/24 169 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/26 53 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/87 221 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/16 18 17 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/16 164 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-texting_left/3 160 11 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/90 11 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/91 37 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/88 11 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/91 9 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/89 35 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/90 26 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/87 22 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/92 27 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/12 35 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/93 16 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/15 27 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/17 32 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/92 12 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_right/8 152 4 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_right/9 225 4 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-texting_left/4 324 11 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/100 28 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/14 21 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/25 33 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
